"Region","Station","Date","Daily Rainfall Total (mm)","Mean Temperature (°C)","Maximum Temperature (°C)","Minimum Temperature (°C)","Latitude","Longitude"
"North","Admiralty",2020-01-01,0,27.5,31.1,25.4,1.4439,103.7854
"North","Admiralty",2020-01-02,0,27.7,30.7,25.9,1.4439,103.7854
"North","Admiralty",2020-01-03,0,27.9,32.7,24.8,1.4439,103.7854
"North","Admiralty",2020-01-04,0.4,29.2,35.7,26,1.4439,103.7854
"North","Admiralty",2020-01-05,8.6,26.3,30.4,24.7,1.4439,103.7854
"North","Admiralty",2020-01-06,10,26.4,30.4,24.2,1.4439,103.7854
"North","Admiralty",2020-01-07,5.6,28.7,32.3,24.6,1.4439,103.7854
"North","Admiralty",2020-01-08,1,28.4,32.3,24.5,1.4439,103.7854
"North","Admiralty",2020-01-09,1.4,28.9,32.7,26.8,1.4439,103.7854
"North","Admiralty",2020-01-10,8,26.5,29.6,23.9,1.4439,103.7854
"North","Admiralty",2020-01-11,0,27.3,32,24.6,1.4439,103.7854
"North","Admiralty",2020-01-12,0,28.6,32.6,25.1,1.4439,103.7854
"North","Admiralty",2020-01-13,0,27.2,31.7,24.3,1.4439,103.7854
"North","Admiralty",2020-01-14,0,27.2,31.8,24.6,1.4439,103.7854
"North","Admiralty",2020-01-15,1,27.2,30.5,25.2,1.4439,103.7854
"North","Admiralty",2020-01-16,0.2,27.5,31.6,25.9,1.4439,103.7854
"North","Admiralty",2020-01-17,0,27.8,32.4,24.8,1.4439,103.7854
"North","Admiralty",2020-01-18,0.2,27.7,32.1,25.4,1.4439,103.7854
"North","Admiralty",2020-01-19,0,28,32.6,25.6,1.4439,103.7854
"North","Admiralty",2020-01-20,0,27.6,31.5,25.8,1.4439,103.7854
"North","Admiralty",2020-01-21,24.6,25.9,27.6,24.1,1.4439,103.7854
"North","Admiralty",2020-01-22,0,27.6,31.6,25,1.4439,103.7854
"North","Admiralty",2020-01-23,0,27.7,31.9,25.2,1.4439,103.7854
"North","Admiralty",2020-01-24,0,27.6,31.3,25,1.4439,103.7854
"North","Admiralty",2020-01-25,0,27.6,32.7,24.4,1.4439,103.7854
